country,Code,year,Solar (TWh growth - equivalent),Coal (TWh growth),Gas (TWh growth),Other renewables (TWh growth - equivalent),Nuclear (TWh growth - equivalent),Hydro (TWh growth - equivalent),Wind (TWh growth - equivalent),Oil (TWh growth)
United States,USA,2018,41.77957,-163.13403,819.71045,-3.1738281,-6.9487305,-23.911438,45.081238,241.95508
United States,USA,2019,35.10234,-538.99854,290.3662,-16.005386,-1.7626953,-13.49176,59.12561,-15.798828
United States,USA,2020,62.163147,-594.27856,-181.13086,-8.438812,-59.727295,-9.821533,108.67169,-1251.5342
United States,USA,2021,87.80618,380.7129,29.166016,-1.4747009,-34.719482,-91.20813,103.127014,831.001
